site,site_name,short_name,Latitude,Longitude
AC01,ANTHOINE CREEK - AC01,Anthoine Creek 1,43.629,-70.267
AC02,ANTHOINE CREEK - AC02,Anthoine Creek 2,43.63,-70.264
AC04,ANTHOINE CREEK - AC04,Anthoine Creek 4,43.632,-70.261
AC05,ANTHOINE CREEK - AC05,Anthoine Creek 5,43.63386,-70.25861
BMR02,BANDM RAILROAD TRESTLE - BMR02,B&m Railroad,43.676316,-70.250002
P7CBI,CLAPBOARD ISLAND - P7CBI,Clapboard Island,43.719167,-70.203056
CR00,COUSINS RIVER - CR00,Cousins 00,43.82922,-70.14582
CR-31,COUSINS RIVER - CR-31,Cousins 31,43.81201,-70.153415
CR-44,COUSINS RIVER - CR-44,Cousins 44,43.79731,-70.14607
CRTRIB0,COUSINS RIVER - CRTRIB0,Cousins Trib,43.8212,-70.16126
EEB18,EAST END BEACH - EEB18,East End Beach,43.67122,-70.241945
FR01,FORE RIVER - FR01,Fore River 1,43.65889,-70.31111
FR02,FORE RIVER - FR02,Fore River 2,43.6526,-70.30021
FR03,FORE RIVER - FR03,Fore River 3,43.64317,-70.28558
FR04,FORE RIVER - FR04,Fore River 4,43.64074,-70.27357
FR05A,FORE RIVER - FR05A,Fore River 5a,43.641661,-70.26118
FR05B,FORE RIVER - FR05B,Fore River 5b,43.642394,-70.26035
FR06,FORE RIVER - FR06,Fore River 6,43.64389,-70.25778
FR07,FORE RIVER - FR07,Fore River 7,43.6486,-70.2544
FR08,FORE RIVER - FR08,Fore River 8,43.65611,-70.25
FR09,FORE RIVER - FR09,Fore River 9,43.6577,-70.23539
P6FGG,FORT GORGES - P6FGG,Fort Gorges,43.662222,-70.226389
HR01,HARRASEEKET RIVER - HR01,Harraseeket 1,43.84239,-70.09994
HR02,HARRASEEKET RIVER - HR02,Harraseeket 2,43.839789,-70.08581
HR03,HARRASEEKET RIVER - HR03,Harraseeket 3,43.82949,-70.09537
HR04,HARRASEEKET RIVER - HR04,Harraseeket 4,43.81995,-70.1044
HR05,HARRASEEKET RIVER - HR05,Harraseeket 5,43.80438,-70.09833
LC01,LONG CREEK - LC01,Long Creek 1,43.63326,-70.31305
LC02,LONG CREEK - LC02,Long Creek 2,43.643658,-70.292762
CBPR,PRESUMPSCOT RIVER - CBPR,Presumpscot Mouth,43.679895,-70.237156
PR01,PRESUMPSCOT RIVER - PR01,Presumpscot 01,43.72063,-70.273025
PR-13,PRESUMPSCOT RIVER - PR-13,Presumpscot 13,43.71316,-70.24715
PR-17,PRESUMPSCOT RIVER - PR-17,Presumpscot 17,43.70599,-70.24723
PR-19,PRESUMPSCOT RIVER - PR-19,Presumpscot 19,43.70364,-70.24398
PR-28,PRESUMPSCOT RIVER - PR-28,Presumpscot 28,43.69067,-70.24642
RR00,ROYAL RIVER - RR00,Royal 00,43.798663,-70.178415
RR00_A,ROYAL RIVER - RR00,Royal A,43.798663,-70.178415
RR-01,ROYAL RIVER - RR-01,Royal 01,43.798078,-70.17773
RR-06,ROYAL RIVER - RR-06,Royal 06,43.794604,-70.168016
RR-13,ROYAL RIVER - RR-13,Royal 13,43.79018,-70.156381
RR-19,ROYAL RIVER - RR-19,Royal 19,43.795518,-70.145465
RR-20,ROYAL RIVER - RR-20,Royal 20,43.796011,-70.143715
TB01,TROUT BROOK - TB01,Trout Brook,43.63663,-70.24934
PRV70,WALTON PARK - PRV70,Walton Park,43.716911,-70.263999
